x, y
133.33333,0.74359
266.66667,0.62821
1733.33333,0.62821
2266.66667,0.67949
2666.66667,0.80769
3333.33333,1.14103
4400,1.25641
7866.66667,1.25641
8400,1.25641
9733.33333,1.25641
11600,1.19231
14133.33333,1.10256
18400,0.96154
22000,0.87179
25866.66667,0.79487
28533.33333,0.75641
30800,0.74359
